,source,target,weight
0,global,work,6
1,global,bringing,6
2,global,caballeros,6
3,global,g,6
4,global,group,4
5,global,go,4
6,global,exposure,4
7,global,definitely,4
8,spin,work,6
9,spin,bringing,6
10,spin,caballeros,6
11,spin,g,6
12,spin,group,4
13,spin,go,4
14,spin,exposure,4
15,spin,definitely,4
16,dial,plan,4
17,dial,mexico,4
18,dial,hottest,4
19,dial,fan,4
20,dial,set,4
21,dial,make,4
22,dial,player,4
23,dial,net,4
24,dial,values,4
25,dial,mustafa,4
26,dial,months,4
27,dial,leads,4
28,dial,firmly,4
29,dial,track,4
30,us,plan,4
31,us,mexico,4
32,us,hottest,4
33,us,fan,4
34,us,set,4
35,us,make,4
36,us,player,4
37,us,net,4
38,us,values,4
39,us,mustafa,4
40,us,months,4
41,us,leads,4
42,us,firmly,4
43,us,track,4
44,marketing,work,6
45,marketing,bringing,6
46,marketing,caballeros,6
47,marketing,g,6
48,marketing,group,4
49,marketing,go,4
50,marketing,exposure,4
51,marketing,definitely,4
52,work,bringing,6
53,work,caballeros,6
54,work,g,6
55,work,group,4
56,work,go,4
57,work,exposure,4
58,work,definitely,4
59,abroad,rap,6
60,abroad,dial,6
61,abroad,trouble,6
62,abroad,everywhere,6
63,abroad,de,6
64,abroad,plan,3
65,abroad,mexico,3
66,abroad,hottest,3
67,abroad,fan,3
68,abroad,chance,6
69,abroad,tracks,6
70,abroad,set,3
71,abroad,make,3
72,abroad,player,3
73,abroad,net,3
74,abroad,values,3
75,abroad,mustafa,3
76,abroad,latin,6
77,abroad,far,6
78,abroad,months,3
79,abroad,leads,3
80,abroad,way,6
81,abroad,spain,6
82,abroad,spaniard,6
83,abroad,firmly,3
84,abroad,tote,6
85,abroad,track,3
86,company,rap,6
87,company,dial,6
88,company,trouble,6
89,company,abroad,6
90,company,everywhere,6
91,company,de,6
92,company,plan,3
93,company,mexico,3
94,company,hottest,3
95,company,fan,3
96,company,chance,6
97,company,tracks,6
98,company,set,3
99,company,make,3
100,company,player,3
101,company,net,3
102,company,values,3
103,company,mustafa,3
104,company,latin,6
105,company,far,6
106,company,months,3
107,company,leads,3
108,company,way,6
109,company,spain,6
110,company,spaniard,6
111,company,firmly,3
112,company,tote,6
113,company,track,3
114,los,work,6
115,los,bringing,6
116,los,caballeros,6
117,los,g,6
118,los,group,4
119,los,go,4
120,los,exposure,4
121,los,definitely,4
122,caballeros,work,6
123,caballeros,bringing,6
124,caballeros,g,6
